------------------------------,--------------------
www.electricblue.eu,Portugal
------------------------------,--------------------
EnvLogger version,T2.4
EnvLogger Viewer version,5.3
downloading device type,android
device,SM-J737T1
device name,Galaxy J7 Star
downloading mode,auto
------------------------------,--------------------
serial number,0456 3D00 F82E 10
custom name,6-P-B1
temperature,degrees Celsius
time zone,UTC+0000
sampling resolution,0.1
samples,514
time diff [logger-smartphone](sec),130
lat,-0.743366
long,-90.303913
accuracy (m),7.5
------------------------------,--------------------
time,temp
03/03/2024 15:00,26.5
03/03/2024 16:30,27.1
03/03/2024 18:00,29.2
03/03/2024 19:30,33.9
03/03/2024 21:00,30.2
03/03/2024 22:30,28.4
04/03/2024 00:00,27.6
04/03/2024 01:30,27.3
04/03/2024 03:00,27.1
04/03/2024 04:30,26.9
04/03/2024 06:00,26.3
04/03/2024 07:30,22.7
04/03/2024 09:00,21.5
04/03/2024 10:30,21.4
04/03/2024 12:00,25.6
04/03/2024 13:30,25.7
04/03/2024 15:00,26.3
04/03/2024 16:30,27.1
04/03/2024 18:00,27.9
04/03/2024 19:30,29
04/03/2024 21:00,29.3
04/03/2024 22:30,28
05/03/2024 00:00,27
05/03/2024 01:30,26.7
05/03/2024 03:00,26.6
05/03/2024 04:30,26.6
05/03/2024 06:00,26.6
05/03/2024 07:30,25.8
05/03/2024 09:00,22.3
05/03/2024 10:30,21.2
05/03/2024 12:00,24
